Folder,Base,Mixed,BaseValue,MixedValue,Difference
10272_results,K-Means,K-Means+LHS,100,100,0
10272_results,K-Means,K-Means+Farthest,100,43,-57
10272_results,K-Means,K-Means+ODAL,100,57,-43
10272_results,K-Means,K-Means+K-Center,100,42,-58
10272_results,Farthest,Farthest+Top5Similarity,65,100,35
10272_results,Farthest,Farthest+Max Comp,65,100,35
10272_results,Farthest,Farthest+Min Comp,65,37,-28
10272_results,Farthest,Farthest+Centroids_saturation_high,65,61,-4
10272_results,Farthest,Farthest+Centroids_saturation_medium,65,63,-2
10272_results,Farthest,Farthest+Centroids_saturation_low,65,55,-10
10272_results,Farthest,Farthest+Random,65,64,-1
10272_results,Farthest,Farthest+LHS,65,69,4
10272_results,Farthest,Farthest+K-Means,65,43,-22
10272_results,Farthest,Farthest+ODAL,65,100,35
10272_results,Farthest,Farthest+K-Center,65,100,35
10272_results,ODAL,ODAL+Top5Similarity,100,74,-26
10272_results,ODAL,ODAL+Max Comp,100,38,-62
10272_results,ODAL,ODAL+Min Comp,100,100,0
10272_results,ODAL,ODAL+Centroids_saturation_high,100,82,-18
10272_results,ODAL,ODAL+Centroids_saturation_medium,100,90,-10
10272_results,ODAL,ODAL+Centroids_saturation_low,100,94,-6
10272_results,ODAL,ODAL+Random,100,75,-25
10272_results,ODAL,ODAL+LHS,100,100,0
10272_results,ODAL,ODAL+K-Means,100,57,-43
10272_results,ODAL,ODAL+Farthest,100,70,-30
10272_results,ODAL,ODAL+K-Center,100,100,0
10272_results,K-Center,K-Center+Top5Similarity,39,45,6
10272_results,K-Center,K-Center+Max Comp,39,60,21
10272_results,K-Center,K-Center+Min Comp,39,40,1
10272_results,K-Center,K-Center+Centroids_saturation_high,39,54,15
10272_results,K-Center,K-Center+Centroids_saturation_medium,39,63,24
10272_results,K-Center,K-Center+Centroids_saturation_low,39,62,23
10272_results,K-Center,K-Center+Random,39,100,61
10272_results,K-Center,K-Center+LHS,39,100,61
10272_results,K-Center,K-Center+K-Means,39,42,3
10272_results,K-Center,K-Center+Farthest,39,100,61
10272_results,K-Center,K-Center+ODAL,39,100,61
10275_results,Top5Similarity,Top5Similarity+Max Comp,100,100,0
10275_results,Top5Similarity,Top5Similarity+Min Comp,100,80,-20
10275_results,Top5Similarity,Top5Similarity+Centroids_saturation_high,100,98,-2
10275_results,Top5Similarity,Top5Similarity+Centroids_saturation_medium,100,100,0
10275_results,Top5Similarity,Top5Similarity+Centroids_saturation_low,100,100,0
10275_results,Top5Similarity,Top5Similarity+Random,100,100,0
10275_results,Top5Similarity,Top5Similarity+LHS,100,100,0
10275_results,Top5Similarity,Top5Similarity+K-Means,100,83,-17
10275_results,Top5Similarity,Top5Similarity+Farthest,100,100,0
10275_results,Top5Similarity,Top5Similarity+ODAL,100,92,-8
10275_results,Top5Similarity,Top5Similarity+K-Center,100,100,0
10275_results,Max Comp,Max Comp+Top5Similarity,100,100,0
10275_results,Max Comp,Max Comp+Min Comp,100,100,0
10275_results,Max Comp,Max Comp+Centroids_saturation_high,100,47,-53
10275_results,Max Comp,Max Comp+Centroids_saturation_medium,100,49,-51
10275_results,Max Comp,Max Comp+Centroids_saturation_low,100,100,0
10275_results,Max Comp,Max Comp+Random,100,76,-24
10275_results,Max Comp,Max Comp+LHS,100,64,-36
10275_results,Max Comp,Max Comp+K-Means,100,73,-27
10275_results,Max Comp,Max Comp+Farthest,100,94,-6
10275_results,Max Comp,Max Comp+ODAL,100,100,0
10275_results,Max Comp,Max Comp+K-Center,100,99,-1
10275_results,Min Comp,Min Comp+Top5Similarity,100,80,-20
10275_results,Min Comp,Min Comp+Max Comp,100,100,0
10275_results,Min Comp,Min Comp+Centroids_saturation_high,100,100,0
10275_results,Min Comp,Min Comp+Centroids_saturation_medium,100,93,-7
10275_results,Min Comp,Min Comp+Centroids_saturation_low,100,94,-6
10275_results,Min Comp,Min Comp+Random,100,100,0
10275_results,Min Comp,Min Comp+LHS,100,100,0
10275_results,Min Comp,Min Comp+K-Means,100,100,0
10275_results,Min Comp,Min Comp+Farthest,100,100,0
10275_results,Min Comp,Min Comp+ODAL,100,100,0
10275_results,Min Comp,Min Comp+K-Center,100,83,-17
10275_results,Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,98,-2
10275_results,Centroids_saturation_high,Centroids_saturation_high+Max Comp,100,47,-53
10275_results,Centroids_saturation_high,Centroids_saturation_high+Min Comp,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_medium,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_low,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+Random,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+LHS,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+K-Means,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+Farthest,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+ODAL,100,100,0
10275_results,Centroids_saturation_high,Centroids_saturation_high+K-Center,100,51,-49
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,100,0
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+Max Comp,100,49,-51
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+Min Comp,100,93,-7
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+Centroids_saturation_high,100,100,0
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+Centroids_saturation_low,100,100,0
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+Random,100,63,-37
