x,y,R,I,V
22500,-13500,0.58921405,0.049998236,0.029459663
27000,-13500,0.597252997,0.049998242,0.0298616
31500,-13500,0.6065185,0.04999824,0.030324858
36000,-13500,0.615599177,0.049998222,0.030778865
40500,-13500,0.62679271,0.049998237,0.031338529
45000,-13500,0.682129593,0.049998238,0.034105278
-45000,-9000,0.520848173,0.049998208,0.026041476
-40500,-9000,0.518293863,0.049998207,0.025913764
-36000,-9000,0.520039967,0.049998195,0.026001058
-31500,-9000,0.523389243,0.049998217,0.02616853
-27000,-9000,0.52684197,0.049998214,0.026341157
-22500,-9000,0.531323693,0.049998185,0.026565219
-18000,-9000,0.53580284,0.049998225,0.026789192
-13500,-9000,0.54087013,0.049998208,0.027042537
-9000,-9000,0.545840793,0.049998187,0.027291049
-4500,-9000,0.55154671,0.049998231,0.02757636
0,-9000,0.557416317,0.049998233,0.027869831
4500,-9000,0.563086477,0.049998242,0.028153335
9000,-9000,0.569339637,0.04999824,0.02846598
13500,-9000,0.575663313,0.049998202,0.028782131
18000,-9000,0.582082957,0.049998241,0.029103125
22500,-9000,0.589002643,0.049998238,0.029449094
27000,-9000,0.59665666,0.049998245,0.029831787
31500,-9000,0.605318147,0.049998243,0.030264845
36000,-9000,0.61413566,0.049998253,0.03070571
40500,-9000,0.624911823,0.049998239,0.031244489
45000,-9000,0.64750046,0.049998235,0.03237388
-45000,-4500,0.521291477,0.049998231,0.026063651
-40500,-4500,0.52174674,0.04999818,0.026086388
-36000,-4500,0.523651613,0.049998191,0.026181634
-31500,-4500,0.525108613,0.04999823,0.026254501
-27000,-4500,0.529256647,0.049998209,0.026461885
-22500,-4500,0.53273612,0.049998208,0.026635851
-18000,-4500,0.537331357,0.049998196,0.026865598
-13500,-4500,0.541752153,0.049998219,0.027086644
-9000,-4500,0.548951323,0.049998217,0.027446588
-4500,-4500,0.55248227,0.04999821,0.027623125
0,-4500,0.557785307,0.049998236,0.027888281
4500,-4500,0.56340111,0.049998229,0.028169057
9000,-4500,0.569411533,0.049998252,0.028469581
13500,-4500,0.575456297,0.049998221,0.028771792
18000,-4500,0.581396877,0.049998229,0.029068815
22500,-4500,0.588290853,0.049998232,0.029413502
27000,-4500,0.595624173,0.049998233,0.029780156
31500,-4500,0.60380044,0.049998258,0.03018897
36000,-4500,0.612573663,0.049998235,0.030627601
40500,-4500,0.622303053,0.049998246,0.031114062
45000,-4500,0.639776157,0.049998242,0.031987684
-45000,0,0.523183367,0.049998191,0.026158222
-40500,0,0.52316079,0.04999822,0.026157108
-36000,0,0.52464429,0.049998174,0.026231257
-31500,0,0.526864743,0.049998209,0.026342294
-27000,0,0.529974807,0.049998226,0.026497798
-22500,0,0.534554617,0.049998201,0.026726769
-18000,0,0.539032623,0.049998221,0.026950672
-13500,0,0.542708947,0.049998219,0.027134482
-9000,0,0.54776398,0.049998208,0.027387218
-4500,0,0.55283114,0.049998229,0.027640579
0,0,0.558561443,0.049998218,0.027927078
4500,0,0.563580157,0.049998241,0.028178017
9000,0,0.569284147,0.049998247,0.028463209
13500,0,0.57494749,0.049998226,0.028746354
18000,0,0.582766747,0.049998233,0.029137307
22500,0,0.586962527,0.049998239,0.029347092
27000,0,0.595034923,0.049998237,0.029750698
31500,0,0.602962227,0.04999824,0.030147049
36000,0,0.611177947,0.049998257,0.030557832
40500,0,0.620943587,0.049998253,0.031046095
45000,0,0.637610127,0.049998252,0.031879392
-45000,4500,0.527089163,0.049998218,0.026353519
-40500,4500,0.52647294,0.04999821,0.026322705
-36000,4500,0.527529237,0.049998207,0.026375516
-31500,4500,0.52928908,0.049998215,0.02646351
-27000,4500,0.532229203,0.049998213,0.026610508
-22500,4500,0.535826647,0.049998211,0.026790374
-18000,4500,0.539960363,0.049998223,0.026997059
-13500,4500,0.544221393,0.049998234,0.027210109
-9000,4500,0.549356253,0.049998233,0.027466842
-4500,4500,0.55351487,0.049998227,0.027674763
0,4500,0.559009113,0.049998235,0.027949469
4500,4500,0.564783993,0.049998223,0.028238196
9000,4500,0.569852507,0.049998248,0.028491627
13500,4500,0.575177023,0.049998235,0.028757837
18000,4500,0.580423627,0.049998258,0.02902017
22500,4500,0.587968173,0.049998243,0.029397375
27000,4500,0.595739393,0.04999824,0.029785921
31500,4500,0.60335251,0.049998244,0.030166567
36000,4500,0.61201031,0.049998247,0.030599441
40500,4500,0.622044247,0.049998236,0.031101116
45000,4500,0.640483267,0.04999824,0.032023038
-45000,9000,0.53125372,0.049998211,0.026561736
-40500,9000,0.52931708,0.049998223,0.026464914
-36000,9000,0.530259977,0.049998214,0.026512052
-31500,9000,0.53165804,0.049998207,0.026581949
-27000,9000,0.53367942,0.049998193,0.026683007
-22500,9000,0.537910487,0.049998239,0.026894576
-18000,9000,0.541122437,0.049998211,0.027055154
-13500,9000,0.544668713,0.049998217,0.027232463
-9000,9000,0.550340963,0.049998237,0.027516078
-4500,9000,0.554006563,0.049998221,0.027699343
0,9000,0.558778133,0.04999823,0.027937917
4500,9000,0.56390248,0.049998236,0.028194129
9000,9000,0.568684987,0.049998221,0.028433238
13500,9000,0.573830657,0.049998249,0.028690529
18000,9000,0.580035283,0.049998258,0.029000755
22500,9000,0.586533953,0.049998255,0.029325674
27000,9000,0.59409116,0.049998262,0.029703526
31500,9000,0.602094717,0.04999825,0.030103682
36000,9000,0.610852287,0.049998259,0.03054155
40500,9000,0.621141017,0.049998239,0.031055957
45000,9000,0.6441825,0.04999825,0.032207998
-45000,13500,0.5371282,0.049998242,0.026855466
-40500,13500,0.517630283,0.04999825,0.025880609
-36000,13500,0.532677007,0.049998211,0.026632898
-31500,13500,0.534026787,0.0499982,0.026700378
-27000,13500,0.536024897,0.049998216,0.02680029
-22500,13500,0.539740783,0.049998231,0.026986083
-18000,13500,0.542577983,0.049998229,0.027127938
-13500,13500,0.546523097,0.04999824,0.027325194
-9000,13500,0.550761947,0.049998216,0.027537113
-4500,13500,0.55481909,0.049998242,0.02773998
0,13500,0.559537117,0.049998235,0.027975868
4500,13500,0.56411452,0.049998221,0.028204722
9000,13500,0.569075397,0.04999824,0.028452767
13500,13500,0.573872333,0.049998249,0.028692613
18000,13500,0.5805177,0.049998247,0.029024868
22500,13500,0.586548577,0.049998247,0.0293264
27000,13500,0.594628447,0.04999825,0.029730382
31500,13500,0.601971033,0.049998245,0.030097496
36000,13500,0.610788737,0.049998252,0.030538368
40500,13500,0.621963503,0.04999825,0.031097085
45000,13500,0.672478663,0.049998243,0.033622753
-40500,18000,0.53721659,0.049998222,0.026859874
-36000,18000,0.536344383,0.049998217,0.026816262
-31500,18000,0.538885,0.049998227,0.026943295
-27000,18000,0.539200167,0.049998229,0.026959053
-22500,18000,0.542675543,0.049998228,0.027132815
-18000,18000,0.544358013,0.049998226,0.027216935
-13500,18000,0.548025527,0.049998204,0.027400292
-9000,18000,0.55892047,0.049998246,0.027945043
-4500,18000,0.555788767,0.049998258,0.02778847
0,18000,0.560457867,0.049998255,0.028021915
4500,18000,0.56444723,0.049998229,0.028221361
9000,18000,0.569157677,0.049998246,0.028456886
13500,18000,0.57381415,0.049998249,0.028689703
18000,18000,0.579469447,0.049998258,0.028972464
22500,18000,0.586057107,0.049998242,0.029301825
27000,18000,0.594062797,0.049998245,0.029702097
31500,18000,0.601852057,0.049998227,0.030091535
36000,18000,0.61114444,0.049998246,0.030556149
40500,18000,0.624385607,0.049998247,0.031218186
-40500,22500,0.538255683,0.049998239,0.026911837
-36000,22500,0.54003847,0.04999822,0.027000962
-31500,22500,0.540993923,0.049998211,0.027048727
-27000,22500,0.61883365,0.049998204,0.030940572
-22500,22500,0.544275847,0.049998224,0.027212825
-18000,22500,0.546660917,0.049998209,0.027332066
-13500,22500,0.54986844,0.049998215,0.02749244
-9000,22500,0.552824697,0.049998224,0.027640253
-4500,22500,0.557322913,0.049998201,0.027865143
