Top5Similarity,Max Comp,Min Comp,Centroids_saturation_high,Centroids_saturation_medium,Centroids_saturation_low,Random,LHS,K-Means,Farthest,ODAL,K-Center,Top5Similarity+Max Comp,Top5Similarity+Min Comp,Top5Similarity+Centroids_saturation_high,Top5Similarity+Centroids_saturation_medium,Top5Similarity+Centroids_saturation_low,Top5Similarity+Random,Top5Similarity+LHS,Top5Similarity+K-Means,Top5Similarity+Farthest,Top5Similarity+ODAL,Top5Similarity+K-Center,Max Comp+Top5Similarity,Max Comp+Min Comp,Max Comp+Centroids_saturation_high,Max Comp+Centroids_saturation_medium,Max Comp+Centroids_saturation_low,Max Comp+Random,Max Comp+LHS,Max Comp+K-Means,Max Comp+Farthest,Max Comp+ODAL,Max Comp+K-Center,Min Comp+Top5Similarity,Min Comp+Max Comp,Min Comp+Centroids_saturation_high,Min Comp+Centroids_saturation_medium,Min Comp+Centroids_saturation_low,Min Comp+Random,Min Comp+LHS,Min Comp+K-Means,Min Comp+Farthest,Min Comp+ODAL,Min Comp+K-Center,Centroids_saturation_high+Top5Similarity,Centroids_saturation_high+Max Comp,Centroids_saturation_high+Min Comp,Centroids_saturation_high+Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Random,Centroids_saturation_high+LHS,Centroids_saturation_high+K-Means,Centroids_saturation_high+Farthest,Centroids_saturation_high+ODAL,Centroids_saturation_high+K-Center,Centroids_saturation_medium+Top5Similarity,Centroids_saturation_medium+Max Comp,Centroids_saturation_medium+Min Comp,Centroids_saturation_medium+Centroids_saturation_high,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_medium+Random,Centroids_saturation_medium+LHS,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+K-Center,Centroids_saturation_low+Top5Similarity,Centroids_saturation_low+Max Comp,Centroids_saturation_low+Min Comp,Centroids_saturation_low+Centroids_saturation_high,Centroids_saturation_low+Centroids_saturation_medium,Centroids_saturation_low+Random,Centroids_saturation_low+LHS,Centroids_saturation_low+K-Means,Centroids_saturation_low+Farthest,Centroids_saturation_low+ODAL,Centroids_saturation_low+K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_high,Random+Centroids_saturation_medium,Random+Centroids_saturation_low,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center,LHS+Top5Similarity,LHS+Max Comp,LHS+Min Comp,LHS+Centroids_saturation_high,LHS+Centroids_saturation_medium,LHS+Centroids_saturation_low,LHS+Random,LHS+K-Means,LHS+Farthest,LHS+ODAL,LHS+K-Center,K-Means+Top5Similarity,K-Means+Max Comp,K-Means+Min Comp,K-Means+Centroids_saturation_high,K-Means+Centroids_saturation_medium,K-Means+Centroids_saturation_low,K-Means+Random,K-Means+LHS,K-Means+Farthest,K-Means+ODAL,K-Means+K-Center,Farthest+Top5Similarity,Farthest+Max Comp,Farthest+Min Comp,Farthest+Centroids_saturation_high,Farthest+Centroids_saturation_medium,Farthest+Centroids_saturation_low,Farthest+Random,Farthest+LHS,Farthest+K-Means,Farthest+ODAL,Farthest+K-Center,ODAL+Top5Similarity,ODAL+Max Comp,ODAL+Min Comp,ODAL+Centroids_saturation_high,ODAL+Centroids_saturation_medium,ODAL+Centroids_saturation_low,ODAL+Random,ODAL+LHS,ODAL+K-Means,ODAL+Farthest,ODAL+K-Center,K-Center+Top5Similarity,K-Center+Max Comp,K-Center+Min Comp,K-Center+Centroids_saturation_high,K-Center+Centroids_saturation_medium,K-Center+Centroids_saturation_low,K-Center+Random,K-Center+LHS,K-Center+K-Means,K-Center+Farthest,K-Center+ODAL
0.008122290158973068,,0.008648469297192308,0.006561898775173851,0.006639367826995127,0.004390529394593151,0.007120342839140454,0.016997587593070705,0.008354393868508758,0.009654646112818467,0.010105968531379224,0.004141984635104612,0.007023218770103587,,0.004899783586261346,,,0.00465310213101759,0.006636344010912167,0.009219088997050269,0.0066217029445903445,0.006791173277655074,0.005527231065310385,0.006870949015337428,,0.0037288614344345,0.004310896879733653,,,,,0.005200328644521909,,,,,,,,,,,,0.005020242309044104,,0.004899484992093286,0.0037288614344345,,,,0.0038095501918208635,0.0067479148337152425,,0.007334483880647377,0.007188456283473167,0.004520080001464704,,0.004350488553583416,,,,0.003950686757758068,0.005370329345164785,0.008188413897306788,0.003270769533672719,0.007522650931506357,0.0059364608396407035,,,,,,0.004335886793927623,0.00406586305157103,0.008204210685350965,0.0038258553958676546,0.004310607213293312,0.0059859484053845355,0.004664057529341541,,,0.0037808164761392697,0.0034013133463690107,0.004335886793927623,0.004645915303609733,,0.008210063353400706,0.0038759465325663156,0.0034247653572022432,0.006636344010952493,,,0.0067479148462908315,0.0054286075147651205,0.004073289156304066,0.004645776490257821,,0.005441183839910568,0.006544658805641518,0.005683103974735901,0.004281379506423195,,,,0.008188530579487973,0.008204210685350965,,,,,,0.0066217029445903445,0.005200328644521909,,0.007334476763772716,0.003270942764659814,0.004037497655660204,0.008210902067276201,0.009753469093651433,,0.006275540878331731,0.011174321369227105,0.006791173277655074,,0.005020242241689629,0.006262918596432803,0.0064345837466972455,0.004310607213293312,,0.006544658805641518,,0.006275540878331731,,0.00552723107571238,,,0.00444343413225762,0.006145135217213175,0.0059859484053845355,0.0034846014624419397,0.005683103974735901,,0.0111743043108514,
0.008104503529645153,,0.00863731082874773,0.006566302851847434,0.006547822536708966,0.00439056103506716,0.007111659202547989,0.01705819762070607,0.00835088254023143,0.009647786169989726,0.009914627015551264,0.004125314201845283,0.007022531546926766,,0.004893640699251293,,,,0.006457501661266314,0.008744508111668915,0.006578432891785622,0.00675794657348694,0.005505157855417565,0.006855432247772587,,,0.004312046441066551,,,,,0.004906639604740459,,,,,,,,,,,,0.005016835865190647,,0.004893340127803937,,,,,0.0038058353799808433,0.006734496942488468,,0.007321066304665818,0.007010111135897602,0.004516116908723061,,,,,,0.003954558564891215,0.005349892793374409,0.008184794408615874,0.00326250264159979,0.007094723633408551,0.00591955564790914,,,,,,0.0043358021525000765,0.004062246090483377,0.008208270865789864,0.0038216203312538607,0.004309234907637469,0.00596329221669867,,,,0.003776221413174585,0.0033881512744077407,0.0043358021525000765,0.004640879857353983,,0.0036564879987880275,0.0038666650999138433,0.003403581947955302,0.006457501661275329,,,0.006734496955435865,0.005430499159713433,0.0040746310964992405,0.0046407523661034095,,0.005440208862226426,0.006508748873036335,0.0057003354899960714,0.004269915293962685,,,,0.00818492003704578,0.008208270865789864,,,,,,0.006578432891785622,0.004906639604740459,,0.007321060118284669,0.0032626882855189415,0.004036225097984698,0.0036377134743545507,0.009752014833845067,,0.00627320838025243,0.009414919713241062,0.00675794657348694,,0.005016835798316183,0.006261706243324789,0.006407794982212783,0.004309234907637469,,0.006508748873036335,,0.00627320838025243,,0.005505157845839846,,,0.00444104595396344,0.006132127621123833,0.00596329221669867,0.003475304015620856,0.0057003354899960714,,0.009414886197495729,
0.007629609096253584,,0.008624695182911094,0.006578374556000609,0.0065404253153002676,0.0043891494546171635,0.0071112906232457,0.016392466027830226,0.007875968906455746,0.009652142906916426,0.009940134297908241,0.004120821267094073,0.0066998067295947926,,0.004888609443136886,,,,0.006425133247504092,0.008251883966808647,0.0065509751051782816,0.0067572667564063426,0.005486453262856284,0.006666102320496243,,,,,,,,0.004899796414022545,,,,,,,,,,,,0.005018716862848707,,0.0048882846343889135,,,,,0.003797386609624523,0.006732966425055983,,0.007301009217060946,0.007043828182395192,0.0043907155562682,,,,,,0.003942321648483943,0.005350775114308171,0.008151279883752185,0.003259684316654288,0.007087852244275293,0.005785575490596938,,,,,,0.004303580877817396,0.004048838167116584,0.008181370655918908,0.0038197808891326573,0.004307630790370079,0.0059509280286529935,,,,0.0037677886975502183,0.0033751514930947493,0.004303580877817396,0.004619534219259529,,0.0036115894970126035,0.003835560730624828,0.0034032028732502396,0.006425133247517449,,,0.0067329664380212225,0.0054408572484509615,0.004044931862836739,0.004619435031286256,,0.005422404376945268,0.0064910655712798965,0.005654695551280658,0.004262873686114737,,,,0.008151399451433526,0.008181370655918908,,,,,,0.0065509751051782816,0.004899796414022545,,0.007301003565818925,0.003259871256612415,0.004029477122058659,0.0036115257922832477,0.0096905904281545,,0.0057742235902070475,0.009448233730463627,0.0067572667564063426,,0.0050187167953553566,0.006261633351974557,0.006368045276436198,0.004307630790370079,,0.0064910655712798965,,0.0057742235902070475,,0.005486453212983199,,,0.004434941912011301,0.006098775644859781,0.0059509280286529935,0.0034456831839910313,0.005654695551280658,,0.009448224832693622,
0.0071360277023703005,,0.00861660474323129,0.0065530894975174385,0.006549545213928365,0.004387934968325245,0.007084613024928771,0.01626302351546085,0.007922396281249456,0.009644028434841388,0.009866846965661893,0.004116683996611231,0.006660310853689819,,0.0046629888680494,,,,0.0064212067077507465,0.008255892974375036,0.006543707778488572,0.006443224745055086,0.005487969147941879,0.006662852900276601,,,,,,,,0.004884222199327853,,,,,,,,,,,,0.00501395859851889,,0.004879378254511725,,,,,0.00379095248478198,0.006729039436549167,,0.007122655508987623,0.007320674945771796,0.004384651594058566,,,,,,0.003942358644761407,0.005349159634039094,0.00813267564884331,0.003249122054333835,0.007084949748749298,0.0057512018252652754,,,,,,0.004287434818237613,0.0040192427274461165,0.008115264291393823,0.003825150877235092,0.004307745576630996,0.005958203185275065,,,,0.0037639927136760495,0.003360155243903041,0.004287434818237613,0.004616910221400485,,0.003586684829128726,0.0031432920201090305,0.003397926782907278,0.006421206707758237,,,0.006729039450125109,0.005416946779919783,0.004033986040566205,0.0046167958020163985,,0.005399370428461548,0.006409261107714832,0.005634281582916423,0.0037462749941183106,,,,0.00813279986850338,0.008115264291393823,,,,,,0.006543707778488572,0.004884222199327853,,0.007122650491209096,0.0032491121976639978,0.004028686135553473,0.0035866228149871076,0.009702187422043772,,0.005770190168343261,0.007946525349112181,0.006443224745055086,,0.005013958531164195,0.006247903084535058,0.006369196985376962,0.004307745576630996,,0.006409261107714832,,0.005770190168343261,,0.005487969103543933,,,0.00397382133221239,0.0061722972604716765,0.005958203185275065,0.003445621622527784,0.005634281582916423,,0.007946518128766688,
0.007103663045280053,,0.008609749415131533,0.006542563488070921,0.006549575610429021,,0.0064371044427211956,0.016157882110888724,0.007919681278268172,0.009616936816218976,0.009884358667010387,0.004115422818621964,0.006659258096386447,,0.004654660120362644,,,,0.006420009552042384,0.00822205862263239,0.006542235724285242,0.0064098702737395916,0.005487622815985369,0.006623431459270174,,,,,,,,0.004862949292554831,,,,,,,,,,,,0.0049546344452581015,,0.004654292954442296,,,,,0.0033645133280765234,0.006712708909102361,,0.007156374485166079,0.0072730535517852276,0.0038792930729355684,,,,,,0.003869252139981471,0.005318169696188956,0.008121599646413763,0.0032501076757267986,0.007053683782010006,0.005742594780473256,,,,,,0.004282358427644293,0.003976719438616214,0.007775515413496347,0.0038297272161421305,0.0043005545632463504,0.005954423606922759,,,,0.0037629571128107464,0.003354835875632674,0.004282358427644293,0.004610013320870216,,0.003570961801237261,0.003141188231671975,0.003394760581575324,0.0064200095520522615,,,0.006712708922887986,0.005417065934026824,0.004035788165442362,0.004609888645496985,,0.005399480895234101,0.0063488602927275995,0.005623278363956015,0.0036859668767208393,,,,0.008121723832207044,0.007775515413496347,,,,,,0.006542235724285242,0.004862949292554831,,0.007156370786419741,0.0032500975649686044,0.004026992801208469,0.0035708992605874602,0.0094211303479826,,0.005767610599731372,0.007803803249542973,0.0064098702737395916,,0.0049546343795458395,0.006238562490706856,0.0063572928887815575,0.0043005545632463504,,0.0063488602927275995,,0.005767610599731372,,0.005487622826110784,,,0.0039612072683756164,0.006168692234212384,0.005954423606922759,0.003480798964056987,0.005623278363956015,,0.007803798794901607,
0.007101631083642124,,0.008669891531547732,0.006535411084186017,0.006531796573708351,,0.006430041775473753,0.016105306820022963,0.007909623513491296,0.009137382400006305,0.009895003384955308,0.004108768102170315,0.00661655657078697,,0.004627474909326937,,,,0.006257133762263165,0.008203745622587766,0.006484482413965532,0.006411099423326834,0.005360019026589366,0.006608475016984646,,,,,,,,0.00485659045367938,,,,,,,,,,,,,,0.004627122199595112,,,,,0.003038260645890816,0.006692643376777974,,0.00743325969280719,0.007233594351425246,0.0038738108976660605,,,,,,0.0038616612579688643,0.005315799490811648,0.008064795317246631,0.0031943926218676827,0.007063863260171586,0.005749845579254372,,,,,,0.004280185965416033,0.003978533382049029,0.007764440067811571,0.0038316134240816233,0.00430540776312122,0.005965153137906701,,,,0.002799378698866799,0.0033537932965616284,0.004280185965416033,0.004602627441794152,,0.003560586636613815,0.0031317057144816013,0.0033938579211657957,0.006257133762275305,,,0.006692643391672055,0.005416375436684104,0.003990917626366121,0.0046025005417529635,,0.0054008733866816126,0.006346653203138934,0.005617893088357402,0.003676462653587703,,,,0.008064904366835435,0.007764440067811571,,,,,,0.006484482413965532,0.00485659045367938,,0.007433260175789988,0.0031943837873983933,0.004027549705464046,0.0035605203171932063,0.009445437145780354,,0.0057434116639143735,0.007793279941706098,0.006411099423326834,,,0.006228183800507172,0.006346219120801212,0.00430540776312122,,0.006346653203138934,,0.0057434116639143735,,0.005360018972254567,,,0.003960389090276908,0.006141909714425979,0.005965153137906701,0.0034779059423061505,0.005617893088357402,,0.007793252687898617,
0.007094363993107654,,0.008667748561655276,0.006532610118179712,0.006479062595263209,,0.006419188265407117,0.016352226805592264,0.007903451985246245,0.009768979289989068,0.009845927779538565,,0.00661626965193585,,0.004619514268913544,,,,0.006250295014859105,0.008192669963279834,0.006473407199349453,0.006291690920285028,0.004977936426025437,0.006550720917879293,,,,,,,,0.0045432276505039644,,,,,,,,,,,,,,0.004619151893550813,,,,,0.003037380790053994,0.006690617626585372,,0.007385638227247677,0.007218639756665541,0.003871535781238869,,,,,,0.0038540537991118375,0.0053029090932006275,0.008064020527060478,0.0031719241815828486,0.007074064765460178,0.005760405533937262,,,,,,0.0042654964968460675,0.003975375801690997,0.007707690375413078,0.003806242991661123,0.004295291131696512,0.005960395174956629,,,,0.002798642446403258,0.003320231250274253,0.0042654964968460675,0.004628834670631804,,0.0035705778539134774,0.0031603228000340617,0.003380672482741259,0.006250295014874807,,,0.006690617641513443,0.005402063836124868,0.003990533855667581,0.004628804605797033,,0.005390234341790535,0.006339517280904794,0.00532470315535251,0.0036702821862112617,,,,0.008064129699774557,0.007707690375413078,,,,,,0.006473407199349453,0.0045432276505039644,,0.007385638733643232,0.003171915346446507,0.004024262926224916,0.0035705167258507833,0.009447396977012615,,0.005735199652372101,0.007606668782061695,0.006291690920285028,,,0.006224082981298861,0.006289545571933971,0.004295291131696512,,0.006339517280904794,,0.005735199652372101,,0.004977936238926943,,,0.003951229576473129,0.006143064082928417,0.005960395174956629,0.0034820296809114186,0.00532470315535251,,0.007606641800993008,
0.006771702319592887,,0.008676220271636994,0.006545344868585785,0.006475141190295263,,0.006362352364936157,0.016351416231604195,0.007890026901520757,0.009721830532868873,0.009833069064517022,,0.006558516083442235,,0.004618275792471766,,,,0.006227040322302701,0.008136237545114755,0.0064165706343577746,0.006290302309220423,0.0049675833673656,0.006547887106701221,,,,,,,,0.004538311194000843,,,,,,,,,,,,,,0.004617814611394838,,,,,0.003034882619561023,0.006512257533389735,,0.007062958974705994,0.007072599396896549,0.0038717940160863692,,,,,,0.003852865660508052,0.0051632146552410526,0.00783926295153769,0.0032144214222546486,0.00706888208295654,0.005752600841574609,,,,,,0.004264255681174784,0.003974502452649074,0.0075065294094648315,0.003807223468401656,0.004181801660605712,0.005957466440072073,,,,0.0027890673102501334,0.0033192283568433067,0.004264255681174784,0.0046262060516371025,,0.0035537498041066165,0.0031455354169162585,0.0033802398293314244,0.006227040322312603,,,0.006512257548818965,0.005252447295034481,0.003987548596317883,0.0046261773078605534,,0.005385851171723482,0.006335628375792507,0.005307156168272424,0.0036478436625089505,,,,0.007839281256514077,0.0075065294094648315,,,,,,0.0064165706343577746,0.004538311194000843,,0.007062960047343271,0.003214412656530647,0.004025509898205063,0.003553688488670309,0.009445847886778914,,0.005705524808791804,0.0072712946871594936,0.006290302309220423,,,0.006221918015869474,0.006060160973580245,0.004181801660605712,,0.006335628375792507,,0.005705524808791804,,0.0049675831604962355,,,0.003919424515910496,0.006120347288979319,0.005957466440072073,0.003478652722331101,0.005307156168272424,,0.007271260899423288,
0.006770231274325837,,0.008666094325587312,0.005359241235372991,0.006471537941992022,,0.006339099585352425,0.016346888545135326,0.007887259635264814,0.009246939434976238,0.00980508452622448,,0.006538547749290508,,0.004597761730753352,,,,0.006228272512269486,0.008136040755554085,0.0064165684766030046,0.006272621546182535,0.004972474914573258,0.006527917531379469,,,,,,,,0.004506382778123316,,,,,,,,,,,,,,0.004597382564145256,,,,,0.003024168234474958,0.006545974168166776,,0.006916834820682285,0.007026072183588638,0.003863152224844504,,,,,,0.0038530894992520677,0.0051432324334890105,0.007838070058519912,0.003213444290622396,0.007067215276029684,0.005752489780178513,,,,,,0.004071342068549801,0.003966398915974274,0.0074980239229422724,0.0038099118446406227,0.004176076473665643,0.005920096780790617,,,,0.0027842678874830246,0.0033206937895375903,0.004071342068549801,0.004625617207773497,,0.0035571250073181213,0.0031041820484194655,0.0033691190125741655,0.00622827251228038,,,0.006545974184350804,0.005228955833678256,0.003986720231958205,0.0046255866584889935,,0.005381644559357213,0.006334646127122623,0.005287638600441204,0.0036165161228474533,,,,0.007838088432371978,0.0074980239229422724,,,,,,0.0064165684766030046,0.004506382778123316,,0.006916834583286807,0.0032134358549816126,0.004001538942586295,0.0035570656902674633,0.009434063712547423,,0.005690272214443134,0.007278125774811554,0.006272621546182535,,,0.006220170463131489,0.006026932147867995,0.004176076473665643,,0.006334646127122623,,0.005690272214443134,,0.004972474704359649,,,0.003918847821174853,0.006108518507168356,0.005920096780790617,0.0034786236896687268,0.005287638600441204,,0.0072780928735891644,
0.006712480947720041,,0.008645328020191908,0.005254360892688967,0.006459712810512495,,0.006321434117694636,0.016327036934908307,0.007891704733341354,0.008753336450623608,0.009751814289015354,,0.006527472934592554,,0.004589991027961494,,,,0.006210356630814519,0.007587371681787024,0.006253707713335957,0.006254623219427164,0.0049401865669596165,0.006516842360802764,,,,,,,,0.004505341445992666,,,,,,,,,,,,,,0.0045896160480834985,,,,,0.0029136750421835094,0.006822850276030636,,0.006870309959783546,0.006994450270043089,0.0038549839075252136,,,,,,0.003852711367913689,0.0040482004621012705,0.007800634084235299,0.0032128077465093303,0.007058132678818902,0.005719778792693755,,,,,,0.004042344798770385,0.003957549057456916,0.007497828287195703,0.003809565693029773,0.004163949498751628,0.005909651719870319,,,,0.0027830754091570415,0.0033400142344112123,0.004042344798770385,0.004474311755785621,,0.0034892435260578743,0.0031004970559907427,0.003368929870560564,0.006210356630836106,,,0.00682285029417649,0.004152004389631466,0.003974057109980606,0.004474405683357985,,0.005378635686661957,0.006286124065028283,0.005300762413245408,0.003498783280159884,,,,0.007800653185987391,0.007497828287195703,,,,,,0.006253707713335957,0.004505341445992666,,0.006870309724301916,0.0032127992223858898,0.0040033824600356205,0.0034891895728860157,0.009295215076038595,,0.005667922682250612,0.007298719331967967,0.006254623219427164,,,0.006206799530198757,0.005993587087907887,0.004163949498751628,,0.006286124065028283,,0.005667922682250612,,0.004940186380076819,,,0.003916257884540979,0.005878502558876368,0.005909651719870319,0.003472221739404424,0.005300762413245408,,0.0072986875300321925,
