target_0,target_1
0.98341334,0.91273
0.9722066,0.946951
0.94668865,0.96707416
0.8734119,0.91681904
0.7343925,0.75709015
0.55164605,0.6669375
0.5433774,0.5682155
0.39972055,0.50402534
0.38823292,0.511368
