selected_doc_indices
2873
7603
8176
656
7288
274
1746
4260
2875
3761
3333
4810
3249
6588
2441
3847
6971
3995
3043
5438
4166
1187
5057
154
1328
2494
5338
5571
5450
8787
7047
2489
4670
7989
7893
7186
6847
7838
5869
8096
6672
3345
1295
3306
7708
4851
4665
3864
3512
8771
7517
