ID,x,y,Au,Cu,Pd,Pt,Resistance
1,-22500.0,-40500.0,0.5233,0.077,0.2864,0.1133,0.79140027
2,-18000.0,-40500.0,0.47975202479752027,0.08229177082291772,0.31986801319868013,0.11808819118088193,0.79164111
3,-13500.0,-40500.0,0.45530000000000004,0.0867,0.3395,0.1185,0.8133310966666667
4,-9000.0,-40500.0,0.42590000000000006,0.09369999999999999,0.36579999999999996,0.11460000000000001,0.8349975500000001
5,-4500.0,-40500.0,0.3994,0.09480000000000001,0.3925,0.1133,0.8546767266666666
6,0.0,-40500.0,0.3637363736373637,0.10831083108310832,0.4221422142214222,0.10581058105810581,0.8710707066666666
7,4500.0,-40500.0,0.3379,0.1134,0.44170000000000004,0.107,0.8838747433333334
8,9000.0,-40500.0,0.3097690230976902,0.1184881511848815,0.4734526547345265,0.0982901709829017,0.89268043
9,13500.0,-40500.0,0.2862,0.1229,0.4946,0.09630000000000001,0.89699918
10,18000.0,-40500.0,0.2586,0.11789999999999999,0.5265,0.09699999999999999,0.8988315266666667
11,22500.0,-40500.0,0.2327,0.1292,0.5483,0.0898,0.9059156066666668
12,-27000.0,-36000.0,0.5243,0.0817,0.261,0.133,0.7861837266666666
13,-22500.0,-36000.0,0.49670000000000003,0.0857,0.2893,0.1283,0.8055356133333333
14,-18000.0,-36000.0,0.46449999999999997,0.0933,0.3096,0.13259999999999997,0.8254538733333334
15,-13500.0,-36000.0,0.43770000000000003,0.099,0.33490000000000003,0.1284,0.8441650700000001
16,-9000.0,-36000.0,0.40630000000000005,0.10039999999999999,0.36450000000000005,0.1288,0.86167688
17,-4500.0,-36000.0,0.3781378137813781,0.10971097109710971,0.38493849384938494,0.1272127212721272,0.8772155166666666
18,0.0,-36000.0,0.3589,0.11560000000000001,0.4045,0.121,0.8889614100000001
19,4500.0,-36000.0,0.3247,0.1058,0.4507,0.1188,0.8978315899999999
20,9000.0,-36000.0,0.3020697930206979,0.1203879612038796,0.4677532246775322,0.10978902109789021,0.9031425
21,13500.0,-36000.0,0.2754,0.1306,0.4854,0.10859999999999999,0.9038817633333333
22,18000.0,-36000.0,0.24757524247575238,0.13498650134986498,0.5134486551344865,0.10398960103989599,0.90171165
23,22500.0,-36000.0,0.2251774822517748,0.1356864313568643,0.5352464753524647,0.10388961103889612,0.89798668
24,27000.0,-36000.0,0.2027,0.1419,0.5598,0.0956,0.8990312533333333
25,-31500.0,-31500.0,0.5237523752375237,0.08960896089608962,0.23362336233623363,0.15301530153015303,0.81387379
26,-27000.0,-31500.0,0.5009,0.0783,0.2651,0.1557,0.8270553733333333
27,-22500.0,-31500.0,0.4708470847084708,0.0989098909890989,0.28012801280128014,0.1501150115011501,0.8438984733333333
28,-18000.0,-31500.0,0.4474,0.0962,0.30269999999999997,0.1537,0.8604176
29,-13500.0,-31500.0,0.41509999999999997,0.0978,0.3321,0.155,0.8750428299999999
30,-9000.0,-31500.0,0.3962,0.1134,0.3479,0.1425,0.8889922299999999
31,-4500.0,-31500.0,0.36639999999999995,0.12479999999999998,0.37239999999999995,0.1364,0.8996036733333334
32,0.0,-31500.0,0.3427,0.1233,0.39799999999999996,0.136,0.9080916566666668
33,4500.0,-31500.0,0.31199999999999994,0.12689999999999999,0.42849999999999994,0.13259999999999997,0.9137825533333334
34,9000.0,-31500.0,0.2903290329032903,0.1328132813281328,0.45454545454545453,0.1223122312231223,0.91683945
35,13500.0,-31500.0,0.26062606260626064,0.13911391139113913,0.47794779477947796,0.12231223122312232,0.91511505
36,18000.0,-31500.0,0.24037596240375964,0.13958604139586042,0.5062493750624938,0.11378862113788622,0.9107300033333332
37,22500.0,-31500.0,0.21359999999999998,0.1475,0.5257000000000001,0.11320000000000001,0.9045572266666666
38,27000.0,-31500.0,0.19511951195119515,0.15281528152815282,0.546954695469547,0.10511051105110511,0.8965048
39,31500.0,-31500.0,0.1778,0.1656,0.5553,0.1013,0.8905800566666666
40,-36000.0,-27000.0,0.5282528252825283,0.0809080908090809,0.2115211521152115,0.17931793179317929,0.8410456233333333
41,-31500.0,-27000.0,0.5048,0.08250000000000002,0.23720000000000002,0.17550000000000004,0.85500422
