ID,x,y,Ag,Au,Cu,Pd,Pt,Resistance
259,36000,18000,0.1001,0.0741,0.37670000000000003,0.2995,0.1496,0.8448153466666667
260,40500,18000,0.0922,0.0689,0.38659999999999994,0.3126,0.13970000000000002,0.8433899433333334
261,-40500,22500,0.4096409640964096,0.18671867186718671,0.1218121812181218,0.0717071707170717,0.21012101210121012,0.6260648533333334
262,-36000,22500,0.3836,0.17850000000000002,0.1452,0.083,0.2097,0.64706951
263,-31500,22500,0.36390000000000006,0.1749,0.15350000000000003,0.0911,0.21660000000000004,0.6702578266666667
264,-27000,22500,0.34776522347765226,0.16768323167683233,0.16638336166383363,0.09779022097790221,0.22037796220377964,0.6925105466666667
265,-22500,22500,0.32569999999999993,0.16519999999999999,0.18219999999999997,0.10679999999999998,0.2201,0.71390719
266,-18000,22500,0.302069793020698,0.15948405159484053,0.20127987201279873,0.11328867113288672,0.22387761223877614,0.7362715966666666
267,-13500,22500,0.28842884288428844,0.15011501150115011,0.20712071207120714,0.12881288128812882,0.22552255225522555,0.7548882766666666
268,-9000,22500,0.2635263526352635,0.14011401140114013,0.22532253225322535,0.14711471147114713,0.22392239223922394,0.7764549266666666
269,-4500,22500,0.24160000000000004,0.1353,0.24390000000000003,0.15680000000000002,0.22240000000000001,0.7948635833333333
270,0,22500,0.22087791220877914,0.12378762123787623,0.2663733626637337,0.17248275172482752,0.21647835216478353,0.8111286999999999
271,4500,22500,0.20079999999999995,0.11779999999999997,0.27849999999999997,0.1878,0.21509999999999999,0.8263063666666667
272,9000,22500,0.1812,0.11220000000000001,0.30079999999999996,0.1971,0.2087,0.83909742
273,13500,22500,0.1646,0.10490000000000001,0.3197,0.2079,0.2029,0.8477383033333333
274,18000,22500,0.1507,0.09720000000000001,0.3239,0.22940000000000002,0.19879999999999998,0.8546038233333333
275,22500,22500,0.13360000000000002,0.09200000000000001,0.3435000000000001,0.24100000000000005,0.1899,0.8581423699999999
276,27000,22500,0.12099999999999998,0.08239999999999999,0.3634,0.25199999999999995,0.18119999999999997,0.8600602633333333
277,31500,22500,0.1159,0.0753,0.3712,0.2658,0.1718,0.8592094066666667
278,36000,22500,0.099,0.0705,0.37829999999999997,0.287,0.16519999999999999,0.8565298833333334
279,40500,22500,0.0926907309269073,0.0657934206579342,0.39606039396060394,0.2946705329467053,0.1507849215078492,0.8689530633333333
280,-36000,27000,0.3882611738826117,0.16918308169183083,0.1442855714428557,0.06919308069193081,0.22907709229077092,0.6830064333333333
281,-31500,27000,0.3649,0.1605,0.1575,0.0789,0.2382,0.7049865366666667
282,-27000,27000,0.34580000000000005,0.15940000000000001,0.17220000000000002,0.08680000000000002,0.2358,0.72577961
283,-22500,27000,0.3251674832516748,0.14708529147085292,0.18948105189481051,0.1018898110188981,0.2363763623637636,0.7471169999999999
284,-18000,27000,0.3038,0.14300000000000002,0.20489999999999997,0.10800000000000001,0.2403,0.7679894933333333
285,-13500,27000,0.2807719228077192,0.14128587141285873,0.221977802219778,0.11708829117088292,0.2388761123887611,0.78729381
286,-9000,27000,0.2656,0.1317,0.2324,0.13269999999999998,0.2376,0.8062115733333334
287,-4500,27000,0.2394,0.12279999999999999,0.2563,0.1475,0.23399999999999999,0.8214198066666667
288,0,27000,0.2194,0.11810000000000001,0.27399999999999997,0.1589,0.2296,0.8366921533333334
289,4500,27000,0.2035796420357964,0.111988801119888,0.2880711928807119,0.1701829817018298,0.2261773822617738,0.8497540533333333
290,9000,27000,0.1791179117911791,0.10211021102110211,0.3147314731473147,0.1818181818181818,0.22222222222222218,0.8601926733333334
291,13500,27000,0.16579999999999998,0.0965,0.3236,0.2003,0.2138,0.86831027
292,18000,27000,0.15178482151784822,0.08689131086891311,0.33826617338266174,0.21087891210878915,0.21217878212178784,0.8733991066666668
293,22500,27000,0.13449999999999998,0.0834,0.3554,0.22699999999999998,0.1997,0.8759050933333333
294,27000,27000,0.12208779122087793,0.07599240075992401,0.3713628637136287,0.23677632236776325,0.19378062193780624,0.8758717366666667
295,31500,27000,0.1104,0.0694,0.3822,0.25370000000000004,0.1843,0.87574465
296,36000,27000,0.1027,0.0642,0.3914,0.2696,0.1721,0.8795822366666666
297,-31500,31500,0.3634363436343635,0.14981498149814984,0.1568156815681568,0.08130813081308132,0.24862486248624863,0.7448372866666666
298,-27000,31500,0.34630000000000005,0.1417,0.1693,0.09230000000000001,0.2504,0.7620873933333333
299,-22500,31500,0.3276,0.14150000000000001,0.18420000000000003,0.0941,0.2526,0.7815348833333334
300,-18000,31500,0.30286971302869714,0.1336866313368663,0.20957904209579045,0.10038996100389962,0.25347465253474655,0.8011957466666666
301,-13500,31500,0.28332833283328335,0.1262126212621262,0.22712271227122716,0.11331133113311331,0.25002500250025006,0.8196126133333334
302,-9000,31500,0.25429999999999997,0.1189,0.2515,0.12279999999999999,0.2525,0.8361090533333333
303,-4500,31500,0.24172417241724173,0.11521152115211519,0.2567256725672567,0.1382138213821382,0.2481248124812481,0.8507481266666667
304,0,31500,0.21559999999999999,0.1057,0.2801,0.1539,0.2447,0.8633085533333333
305,4500,31500,0.1991,0.1036,0.3009,0.1578,0.2386,0.87524908
306,9000,31500,0.1793179317931793,0.0961096109610961,0.31543154315431543,0.17691769176917693,0.23222322232223222,0.8832616400000001
307,13500,31500,0.1655,0.08439999999999999,0.3326,0.1886,0.2289,0.8895305866666666
308,18000,31500,0.1482,0.0818,0.35359999999999997,0.1993,0.21710000000000002,0.8941303333333334
309,22500,31500,0.1361863813618638,0.0774922507749225,0.36266373362663734,0.211978802119788,0.21167883211678834,0.89536646
310,27000,31500,0.1189118911891189,0.0688068806880688,0.37743774377437744,0.23002300230023,0.2048204820482048,0.8955811433333333
311,31500,31500,0.10958904109589043,0.06659334066593342,0.3959604039596041,0.23517648235176483,0.19268073192680732,0.89887184
312,-27000,36000,0.3401659834016598,0.1325867413258674,0.1785821417858214,0.081991800819918,0.2666733326667333,0.8017254233333334
313,-22500,36000,0.3237676232376762,0.12388761123887611,0.19328067193280668,0.08959104089591041,0.2694730526947305,0.8179904633333333
314,-18000,36000,0.29510000000000003,0.11720000000000001,0.2216,0.1003,0.2658,0.83608176
315,-13500,36000,0.2748,0.11689999999999998,0.23479999999999998,0.10759999999999999,0.26589999999999997,0.8523889066666667
316,-9000,36000,0.2586741325867413,0.10988901109889011,0.24797520247975202,0.11678832116788321,0.2666733326667333,0.8674938933333334
317,-4500,36000,0.2377,0.1015,0.26890000000000003,0.1303,0.2616,0.8812688866666666
318,0,36000,0.21464292858571715,0.09891978395679137,0.285257051410282,0.14092818563712742,0.260252050410082,0.8919610099999999
319,4500,36000,0.1956,0.091,0.3091,0.1539,0.2504,0.9012490133333332
320,9000,36000,0.1782,0.0867,0.3212,0.1653,0.2486,0.90924328
321,13500,36000,0.1619,0.08079999999999998,0.34279999999999994,0.17529999999999998,0.2392,0.9143108766666668
322,18000,36000,0.1445,0.0756,0.3599,0.1845,0.23550000000000001,0.9169624233333332
323,22500,36000,0.1354,0.0689,0.3713,0.1991,0.2253,0.9177958466666668
324,27000,36000,0.1217,0.06559999999999999,0.38420000000000004,0.2144,0.2141,0.9203491966666668
325,-22500,40500,0.3171317131713171,0.1116111611161116,0.2032203220322032,0.0844084408440844,0.2836283628362836,0.8615317699999999
326,-18000,40500,0.2989,0.1084,0.22149999999999997,0.0946,0.2766,0.8749660933333333
327,-13500,40500,0.2743725627437256,0.1068893110688931,0.238976102389761,0.0991900809919008,0.2805719428057194,0.88836961
328,-9000,40500,0.2501,0.09989999999999999,0.2601,0.11319999999999998,0.2767,0.9022184666666668
329,-4500,40500,0.2234,0.09519999999999999,0.2818,0.12140000000000001,0.2782,0.9135123333333334
330,0,40500,0.20997900209979,0.09129087091290872,0.2952704729527047,0.1332866713328667,0.2701729827017298,0.9232379866666668
331,4500,40500,0.1907,0.0852,0.31629999999999997,0.1406,0.2672,0.9317408066666668
332,9000,40500,0.1711171117111711,0.07920792079207921,0.3291329132913291,0.15421542154215423,0.26632663266326634,0.93782031
333,13500,40500,0.15658434156584344,0.07339266073392661,0.35506449355064496,0.16288371162883714,0.25207479252074794,0.94308265
334,18000,40500,0.1429,0.0698,0.3619,0.1776,0.24780000000000002,0.94495187
335,22500,40500,0.128,0.065,0.3873,0.183,0.23670000000000002,0.9536083133333332
336,-13500,45000,0.26522652265226526,0.09310931093109313,0.24692469246924698,0.09930993099309933,0.29542954295429547,0.93552778
337,-9000,45000,0.2473,0.0916,0.2651,0.10769999999999999,0.2883,0.9438072766666666
338,-4500,45000,0.22799999999999998,0.08589999999999999,0.28229999999999994,0.1171,0.28669999999999995,0.9522258866666669
339,0,45000,0.2091,0.0814,0.3003,0.12369999999999999,0.28550000000000003,0.96060569
340,4500,45000,0.188,0.07919999999999999,0.3222,0.1352,0.2754,0.96789883
341,9000,45000,0.17550000000000002,0.0721,0.33380000000000004,0.1442,0.27440000000000003,0.97491116
342,13500,45000,0.15560000000000002,0.06849999999999999,0.35119999999999996,0.15560000000000002,0.2691,0.9883063966666666
