ID,x,y,Au,Pd,Pt,Rh,Resistance
1,-22500,-40500,0.2455,0.1121,0.0789,0.5635,1.0846437666666666
2,-18000,-40500,0.2698,0.1207,0.0802,0.5293,1.0851717333333333
3,-13500,-40500,0.2982,0.1328,0.0694,0.4996,1.0995792333333334
4,-9000,-40500,0.3233,0.1375,0.0678,0.4714,1.1171785666666667
5,-4500,-40500,0.3553,0.1426,0.0625,0.4396,1.1357467666666667
6,0,-40500,0.3785378537853785,0.1518151815181518,0.0649064906490649,0.4047404740474047,1.1538307
7,4500,-40500,0.4047,0.1636,0.056100000000000004,0.37560000000000004,1.1683602666666666
8,9000,-40500,0.43524352435243524,0.16901690169016897,0.0557055705570557,0.34003400340034,1.1776467333333334
9,13500,-40500,0.44884488448844884,0.1874187418741874,0.049004900490049005,0.3147314731473147,1.1810459333333334
10,18000,-40500,0.47619999999999996,0.18960000000000002,0.0482,0.28600000000000003,1.1799437666666668
11,22500,-40500,0.49900000000000005,0.20890000000000003,0.037200000000000004,0.2549,1.1903751666666669
12,-27000,-36000,0.22997700229977,0.1094890510948905,0.0881911808819118,0.5723427657234277,1.0534374
13,-22500,-36000,0.2509,0.1185,0.08839999999999999,0.5422,1.0625690333333333
14,-18000,-36000,0.27102710271027103,0.12781278127812779,0.08320832083208321,0.517951795179518,1.0773259000000002
15,-13500,-36000,0.2934,0.1442,0.0786,0.4838,1.0927235666666666
16,-9000,-36000,0.32336766323367666,0.14978502149785022,0.0767923207679232,0.4500549945005499,1.107355766666667
17,-4500,-36000,0.3454,0.1612,0.0735,0.4199,1.121685933333333
18,0,-36000,0.37296270372962703,0.17018298170182983,0.06949305069493052,0.3873612638736127,1.134650333333333
19,4500,-36000,0.39506049395060494,0.17618238176182385,0.06669333066693331,0.36206379362063795,1.1459895666666666
20,9000,-36000,0.4203,0.1907,0.0602,0.32880000000000004,1.1518554666666667
21,13500,-36000,0.4538453845384539,0.18511851185118514,0.05740574057405741,0.30363036303630364,1.1511170666666668
22,18000,-36000,0.46594659465946603,0.21092109210921092,0.05070507050705071,0.27242724272427243,1.1423164666666668
23,22500,-36000,0.49280000000000007,0.21880000000000002,0.04460000000000001,0.24380000000000002,1.1308596999999998
24,27000,-36000,0.5042504250425043,0.22642264226422645,0.037703770377037704,0.23162316231623165,1.1178908333333333
25,-31500,-31500,0.20989999999999998,0.10369999999999999,0.0974,0.589,1.0462759333333334
26,-27000,-31500,0.2336,0.1255,0.098,0.5428999999999999,1.0502652
27,-22500,-31500,0.2534,0.12689999999999999,0.0946,0.5251,1.0591094
28,-18000,-31500,0.27262726272627263,0.139013901390139,0.09540954095409539,0.4929492949294929,1.0721458666666666
29,-13500,-31500,0.2998299829982998,0.1476147614761476,0.089008900890089,0.4635463546354635,1.0840659
30,-9000,-31500,0.31989999999999996,0.1562,0.08529999999999999,0.4386,1.0970959
31,-4500,-31500,0.3515,0.162,0.0868,0.3997,1.108909733333333
32,0,-31500,0.3665,0.1814,0.0827,0.36939999999999995,1.1189121
33,4500,-31500,0.3923,0.18710000000000002,0.07440000000000001,0.34619999999999995,1.1266726333333332
34,9000,-31500,0.42185781421857815,0.18898110188981102,0.06799320067993202,0.32116788321167883,1.1283657666666669
35,13500,-31500,0.4433556644335567,0.20457954204579543,0.0662933706629337,0.2857714228577142,1.1219794
36,18000,-31500,0.463046304630463,0.21472147214721468,0.0637063706370637,0.2585258525852585,1.113709133333333
37,22500,-31500,0.484,0.22699999999999998,0.0608,0.22820000000000001,1.0967953666666663
38,27000,-31500,0.49750000000000005,0.24270000000000003,0.05210000000000001,0.20770000000000002,1.0751956333333332
39,31500,-31500,0.5119511951195119,0.24722472247224722,0.04460446044604461,0.19621962196219625,1.0524192
40,-36000,-27000,0.19399999999999998,0.1131,0.1069,0.586,1.0328782
41,-31500,-27000,0.21467853214678534,0.11348865113488651,0.11008899110088992,0.5617438256174383,1.0395796333333334
42,-27000,-27000,0.23542354235423543,0.1269126912691269,0.10891089108910892,0.5287528752875288,1.0464298
43,-22500,-27000,0.24969999999999998,0.1346,0.1084,0.5073,1.0560620333333337
44,-18000,-27000,0.27649999999999997,0.14,0.1076,0.47590000000000005,1.0661021
45,-13500,-27000,0.2944,0.1574,0.1038,0.44439999999999996,1.0765820666666666
46,-9000,-27000,0.3235,0.168,0.1017,0.4068,1.0862416666666663
47,-4500,-27000,0.3421,0.1773,0.0942,0.3864,1.0954563
48,0,-27000,0.37329999999999997,0.1873,0.0877,0.3517,1.1034945333333332
49,4500,-27000,0.3942,0.1981,0.0836,0.32409999999999994,1.1059097
50,9000,-27000,0.41090000000000004,0.21309999999999998,0.08070000000000001,0.2953,1.104787966666667
51,13500,-27000,0.4319568043195681,0.22487751224877514,0.07279272072792721,0.2703729627037296,1.0962284666666666
52,18000,-27000,0.4489,0.2373,0.0661,0.2477,1.0834342
53,22500,-27000,0.47590000000000005,0.24350000000000002,0.060599999999999994,0.22,1.0648346666666666
54,27000,-27000,0.4902,0.25489999999999996,0.0602,0.19469999999999998,1.0413222666666668
55,31500,-27000,0.5039,0.2615,0.0545,0.1801,1.0136499333333333
56,36000,-27000,0.5241,0.2703,0.042199999999999994,0.1634,0.9910992833333334
57,-40500,-22500,0.1792179217921792,0.112011201120112,0.1236123612361236,0.5851585158515851,1.0281635333333332
58,-36000,-22500,0.19760000000000003,0.1151,0.12380000000000001,0.5635,1.0316604333333332
59,-31500,-22500,0.21100000000000002,0.1305,0.12300000000000001,0.5355,1.0378318333333332
60,-27000,-22500,0.2271,0.1458,0.1198,0.5073,1.0429915
61,-22500,-22500,0.2488,0.1474,0.1231,0.4807,1.0510589333333331
62,-18000,-22500,0.2784,0.1537,0.11699999999999999,0.4509,1.0601829
63,-13500,-22500,0.2905290529052905,0.17531753175317533,0.11451145114511449,0.41964196419641964,1.0674705666666666
64,-9000,-22500,0.3154,0.18230000000000002,0.1109,0.3914,1.0745419666666665
65,-4500,-22500,0.33759999999999996,0.19219999999999998,0.09849999999999999,0.37170000000000003,1.0824167333333332
66,0,-22500,0.36656334366563337,0.20617938206179381,0.0964903509649035,0.3307669233076692,1.0867114333333334
67,4500,-22500,0.3837,0.2091,0.0947,0.3125,1.085987933333333
68,9000,-22500,0.4133,0.22690000000000002,0.0825,0.2773,1.0801150333333331
69,13500,-22500,0.43254325432543256,0.23272327232723272,0.07940794079407941,0.25532553255325535,1.0686156
70,18000,-22500,0.4374,0.2547,0.07769999999999999,0.2302,1.0528417
71,22500,-22500,0.47365263473652636,0.24697530246975305,0.0700929907009299,0.20927907209279073,1.0325928
72,27000,-22500,0.47994799479947997,0.2733273327332733,0.06290629062906292,0.18381838183818383,1.0091123333333334
73,31500,-22500,0.49750000000000005,0.2735000000000001,0.06160000000000001,0.16740000000000002,0.98020405
74,36000,-22500,0.513,0.2898,0.049800000000000004,0.1474,0.9515941766666668
75,40500,-22500,0.5249,0.2988,0.042800000000000005,0.1335,0.9489361366666668
76,-40500,-18000,0.1753,0.11259999999999999,0.1457,0.5664,1.0291848
77,-36000,-18000,0.1885,0.1246,0.1434,0.5435,1.0333978333333331
78,-31500,-18000,0.20797920207979204,0.13688631136886312,0.13688631136886312,0.5182481751824818,1.0365902
79,-27000,-18000,0.23327667233276672,0.1386861313868613,0.1386861313868613,0.48935106489351066,1.0409221666666666
80,-22500,-18000,0.2457,0.1604,0.1294,0.4645,1.0464002666666667
81,-18000,-18000,0.271,0.1668,0.1305,0.43170000000000003,1.054139266666667
82,-13500,-18000,0.2901,0.18059999999999998,0.1272,0.4021,1.0587047
83,-9000,-18000,0.3122312231223122,0.1859185918591859,0.1266126612661266,0.37523752375237523,1.0652437
84,-4500,-18000,0.34259999999999996,0.1993,0.11789999999999999,0.34020000000000006,1.0698036666666666
85,0,-18000,0.3575,0.21109999999999998,0.11289999999999999,0.3185,1.0707518
86,4500,-18000,0.3812,0.2206,0.1047,0.29350000000000004,1.0674743999999998
87,9000,-18000,0.4013,0.24519999999999997,0.09089999999999998,0.2626,1.0566448333333334
88,13500,-18000,0.4169,0.2482,0.0934,0.2415,1.0441117
89,18000,-18000,0.4363,0.26539999999999997,0.08380000000000001,0.2145,1.0270402666666667
90,22500,-18000,0.4507,0.2751,0.07719999999999999,0.19699999999999998,1.0048628333333334
91,27000,-18000,0.46909999999999996,0.2851,0.0703,0.17550000000000002,0.9809806366666668
92,31500,-18000,0.4803,0.2905,0.0661,0.1631,0.9513940066666666
93,36000,-18000,0.492050794920508,0.31006899310068997,0.05739426057394261,0.14048595140485953,0.9227221533333334
94,40500,-18000,0.5057,0.3165,0.0528,0.125,0.8953795299999999
95,-45000,-13500,0.15848415158484153,0.10598940105989402,0.15708429157084294,0.5784421557844216,1.0355670666666663
96,-40500,-13500,0.175,0.1233,0.1586,0.5431,1.031165033333333
97,-36000,-13500,0.19418058194180582,0.1334866513348665,0.158984101589841,0.5133486651334866,1.0324876
98,-31500,-13500,0.20197980201979804,0.1483851614838516,0.15598440155984403,0.49365063493650635,1.0329438333333334
99,-27000,-13500,0.22829999999999998,0.1518,0.1545,0.4654,1.0376015666666667
100,-22500,-13500,0.242,0.1746,0.1447,0.4387,1.0406616666666666
101,-18000,-13500,0.2647,0.1759,0.147,0.41240000000000004,1.0464666333333337
102,-13500,-13500,0.2858714128587141,0.18938106189381063,0.13988601139886012,0.3848615138486151,1.0500027666666667
103,-9000,-13500,0.3061306130613061,0.2011201120112011,0.13151315131513153,0.36123612361236124,1.0535430666666667
104,-4500,-13500,0.3245,0.22,0.1356,0.31989999999999996,1.055715
105,0,-13500,0.3506,0.2229,0.1251,0.3014,1.0461579
106,4500,-13500,0.3718,0.2444,0.11220000000000001,0.2716,1.0465530666666667
107,9000,-13500,0.3881,0.2521,0.11130000000000001,0.24850000000000003,1.0353332333333334
108,13500,-13500,0.4072,0.2631,0.1017,0.228,1.0202639
109,18000,-13500,0.4251425142514252,0.2753275327532754,0.09270927092709272,0.20682068206820686,1.00141116
110,22500,-13500,0.4395,0.28600000000000003,0.08789999999999999,0.1866,0.9798448466666668
111,27000,-13500,0.45874587458745875,0.30093009300930096,0.08090809080908092,0.15941594159415942,0.9547024466666668
112,31500,-13500,0.47229999999999994,0.313,0.0709,0.1438,0.92606297
113,36000,-13500,0.47600000000000003,0.32280000000000003,0.064,0.13720000000000002,0.89729159
114,40500,-13500,0.48779999999999996,0.33149999999999996,0.056499999999999995,0.12419999999999998,0.8696530833333332
115,45000,-13500,0.5023,0.34049999999999997,0.0519,0.10529999999999999,0.90637116
116,-45000,-9000,0.1565,0.1233,0.1761,0.5440999999999999,1.0355357666666667
117,-40500,-9000,0.17350000000000002,0.132,0.1744,0.5201,1.0307144333333331
118,-36000,-9000,0.18710000000000002,0.1382,0.17300000000000001,0.5017,1.0305664333333333
119,-31500,-9000,0.2014,0.1597,0.17629999999999998,0.46259999999999996,1.0295053
120,-27000,-9000,0.225,0.1568,0.1751,0.44310000000000005,1.0298503
121,-22500,-9000,0.2394,0.1807,0.1718,0.4081,1.0343008
122,-18000,-9000,0.2618,0.19190000000000002,0.1624,0.3839,1.0404615333333334
123,-13500,-9000,0.2773722627737226,0.2042795720427957,0.158984101589841,0.3593640635936406,1.0388471
124,-9000,-9000,0.30219999999999997,0.2076,0.155,0.33520000000000005,1.0403702666666663
125,-4500,-9000,0.3197,0.2257,0.14400000000000002,0.3106,1.0405057
126,0,-9000,0.3413658634136586,0.23777622237776222,0.1385861413858614,0.2822717728227177,1.036037433333333
127,4500,-9000,0.3555,0.2605,0.1278,0.2562,1.0268069333333334
128,9000,-9000,0.37166283371662834,0.26737326267373257,0.1225877412258774,0.2383761623837616,1.0131043333333334
129,13500,-9000,0.39409999999999995,0.28190000000000004,0.1142,0.20980000000000001,0.9968515766666666
130,18000,-9000,0.4146,0.292,0.10220000000000001,0.1912,0.9771039633333332
131,22500,-9000,0.4276,0.3028,0.0946,0.175,0.95533892
132,27000,-9000,0.44610000000000005,0.3174,0.08600000000000001,0.15050000000000002,0.9303821033333332
133,31500,-9000,0.4539,0.3286,0.0786,0.1389,0.90207623
134,36000,-9000,0.4604539546045395,0.3353664633536646,0.0753924607539246,0.1287871212878712,0.87395929
135,40500,-9000,0.47515248475152483,0.3484651534846515,0.0662933706629337,0.1100889911008899,0.8459692066666666
136,45000,-9000,0.47684768476847694,0.3536353635363537,0.06380638063806382,0.10571057105710574,0.8363413000000001
137,-45000,-4500,0.16219999999999998,0.1263,0.1929,0.5186,1.0416374333333334
138,-40500,-4500,0.168,0.15109999999999998,0.19260000000000002,0.48829999999999996,1.029
139,-36000,-4500,0.18100000000000002,0.1602,0.19269999999999998,0.4661,1.0268465333333334
140,-31500,-4500,0.2021,0.1636,0.19920000000000002,0.4351,1.0231773333333334
141,-27000,-4500,0.2207,0.17120000000000002,0.1911,0.41700000000000004,1.0232540666666667
142,-22500,-4500,0.2301769823017698,0.18368163183681632,0.1934806519348065,0.39266073392660733,1.0288094666666665
143,-18000,-4500,0.2626,0.19010000000000002,0.1797,0.3676,1.0265812
144,-13500,-4500,0.2748,0.209,0.175,0.34119999999999995,1.0269608
145,-9000,-4500,0.299,0.21989999999999998,0.16570000000000001,0.3154,1.0264766
146,-4500,-4500,0.31129999999999997,0.24239999999999998,0.159,0.2873,1.0239059
147,0,-4500,0.3301,0.2482,0.1553,0.2664,1.0171300333333333
148,4500,-4500,0.35123512351235125,0.26592659265926594,0.14311431143114312,0.23972397239723972,1.0059727333333333
149,9000,-4500,0.36879999999999996,0.2803999999999999,0.13319999999999999,0.2176,0.9909867466666668
150,13500,-4500,0.3778,0.2973,0.1277,0.1972,0.97424091
151,18000,-4500,0.39946005399460055,0.30516948305169483,0.11728827117288271,0.1780821917808219,0.9542434866666666
152,22500,-4500,0.4125,0.3178,0.1076,0.16210000000000002,0.9316495666666668
153,27000,-4500,0.4317568243175683,0.3295670432956705,0.09959004099590042,0.13908609139086092,0.9058781066666668
154,31500,-4500,0.44020000000000004,0.3375,0.0941,0.1282,0.8799231033333333
155,36000,-4500,0.4456,0.3556,0.0794,0.11939999999999999,0.85227473
156,40500,-4500,0.4604,0.3593,0.0701,0.11019999999999999,0.8252334333333333
157,45000,-4500,0.4753,0.3718,0.0641,0.0888,0.8082376733333334
158,-45000,0,0.1563,0.1449,0.20920000000000002,0.48960000000000004,1.0347087333333334
159,-40500,0,0.1679,0.14029999999999998,0.2157,0.47609999999999997,1.0253899333333334
160,-36000,0,0.1769,0.1663,0.2157,0.4411,1.0201850666666668
161,-31500,0,0.1963,0.16699999999999998,0.212,0.42469999999999997,1.015630466666667
162,-27000,0,0.2079,0.1852,0.2075,0.3994,1.0143886666666666
163,-22500,0,0.22940000000000002,0.1902,0.2048,0.37560000000000004,1.013986133333333
164,-18000,0,0.24600000000000002,0.2125,0.195,0.3465,1.0137748666666666
165,-13500,0,0.2653734626537346,0.21867813218678137,0.19938006199380065,0.31656834316568344,1.0135703333333332
166,-9000,0,0.2826000000000001,0.234,0.1854,0.29800000000000004,1.0114648666666666
167,-4500,0,0.2985,0.25120000000000003,0.1769,0.2734,1.0067873333333333
168,0,0,0.3189,0.2706,0.1656,0.24489999999999998,0.9965896633333332
169,4500,0,0.342,0.27899999999999997,0.1583,0.2207,0.9845430266666668
170,9000,0,0.3576357635763576,0.29062906290629065,0.14751475147514753,0.20422042204220425,0.96925406
171,13500,0,0.3718,0.3039,0.1376,0.1867,0.9509799066666668
172,18000,0,0.3877,0.31939999999999996,0.12429999999999998,0.16859999999999997,0.9307272533333334
173,22500,0,0.4014,0.332,0.11539999999999999,0.1512,0.90757073
174,27000,0,0.4119,0.3439,0.10949999999999999,0.13470000000000001,0.8827734700000001
175,31500,0,0.4207,0.3546,0.09820000000000001,0.1265,0.8579306233333334
176,36000,0,0.43410000000000004,0.3656000000000001,0.0879,0.11240000000000001,0.8313692266666667
177,40500,0,0.4439,0.3803,0.0803,0.0955,0.80758191
178,45000,0,0.4589000000000001,0.37960000000000005,0.07300000000000001,0.08850000000000001,0.7908480833333333
179,-45000,4500,0.1525152515251525,0.1488148814881488,0.2289228922892289,0.4697469746974697,1.0304026666666666
180,-40500,4500,0.1605,0.1525,0.2466,0.4404,1.0193007333333333
181,-36000,4500,0.17298270172982702,0.1700829917008299,0.23477652234776522,0.4221577842215778,1.0130583
182,-31500,4500,0.1833,0.1769,0.2396,0.40020000000000006,1.0064411
183,-27000,4500,0.2077,0.1869,0.22649999999999998,0.3789,1.0044258
184,-22500,4500,0.2206779322067793,0.2037796220377962,0.22477752224777522,0.3507649235076492,1.0039308
185,-18000,4500,0.231,0.222,0.2213,0.3257,1.0017199
186,-13500,4500,0.2554,0.2373,0.20829999999999999,0.299,0.99833454
187,-9000,4500,0.2731,0.261,0.20170000000000002,0.2642,0.9959540166666668
188,-4500,4500,0.2922,0.2668,0.1881,0.2529,0.99253835
189,0,4500,0.3121,0.2746,0.18170000000000003,0.2316,0.9784767633333332
190,4500,4500,0.3299,0.2967,0.17190000000000003,0.20149999999999998,0.9649550366666666
191,9000,4500,0.3448,0.3121,0.1595,0.18359999999999999,0.9475936033333332
192,13500,4500,0.36110000000000003,0.31960000000000005,0.1494,0.1699,0.9303959
193,18000,4500,0.37903790379037905,0.32993299329932996,0.13971397139713973,0.15131513151315132,0.9104571433333334
194,22500,4500,0.3847384738473847,0.3495349534953495,0.1311131113111311,0.1346134613461346,0.8878194533333333
195,27000,4500,0.3994,0.35609999999999997,0.1199,0.1246,0.8648444066666666
