x,y,R,I,V
22500,-13500,0.846327777,0.049998238,0.042314897
27000,-13500,0.847392927,0.049998242,0.042368156
31500,-13500,0.840626497,0.049998247,0.042029852
36000,-13500,0.827622127,0.049998256,0.041379663
40500,-13500,0.81142687,0.04999825,0.040569924
45000,-13500,0.829280193,0.04999824,0.041462552
-45000,-9000,0.400712113,0.049997957,0.020034787
-40500,-9000,0.42266362,0.049997975,0.021132325
-36000,-9000,0.448894497,0.049997976,0.022443816
-31500,-9000,0.477505997,0.049998012,0.02387435
-27000,-9000,0.509332163,0.049998049,0.025465616
-22500,-9000,0.542666977,0.049998086,0.027132311
-18000,-9000,0.579185647,0.049998124,0.028958196
-13500,-9000,0.619417653,0.049998169,0.030969749
-9000,-9000,0.65938139,0.049998189,0.032967875
-4500,-9000,0.702395937,0.049998258,0.035118574
0,-9000,0.7430569,0.049998256,0.03715155
4500,-9000,0.7811136,0.049998248,0.039054312
9000,-9000,0.81328309,0.049998258,0.040662738
13500,-9000,0.840167687,0.049998246,0.042006913
18000,-9000,0.859222537,0.049998249,0.042959623
22500,-9000,0.868368383,0.049998243,0.043416893
27000,-9000,0.86923712,0.049998248,0.043460333
31500,-9000,0.861182987,0.049998245,0.043057639
36000,-9000,0.848614217,0.049998246,0.042429222
40500,-9000,0.83171334,0.049998254,0.041584216
45000,-9000,0.823349783,0.049998246,0.041166046
-45000,-4500,0.420870383,0.04999797,0.021042664
-40500,-4500,0.44544576,0.049997988,0.022271392
-36000,-4500,0.473589993,0.049998038,0.02367857
-31500,-4500,0.50395364,0.049998027,0.025196688
-27000,-4500,0.537859607,0.049998079,0.026891947
-22500,-4500,0.57341582,0.049998115,0.02866971
-18000,-4500,0.611065783,0.049998169,0.03055217
-13500,-4500,0.64992386,0.049998245,0.032495052
-9000,-4500,0.691747897,0.049998223,0.034586167
-4500,-4500,0.73313135,0.049998229,0.036655269
0,-4500,0.77257224,0.049998241,0.038627254
4500,-4500,0.80943287,0.049998261,0.040470236
9000,-4500,0.840528783,0.049998245,0.042024964
13500,-4500,0.865091353,0.049998243,0.043253048
18000,-4500,0.88270416,0.049998234,0.044133649
22500,-4500,0.89110919,0.049998242,0.044553893
27000,-4500,0.890726653,0.049998234,0.044534761
31500,-4500,0.883451617,0.049998243,0.044171029
36000,-4500,0.871455847,0.049998251,0.043571268
40500,-4500,0.854097617,0.049998247,0.042703384
45000,-4500,0.840036407,0.04999825,0.042000351
-45000,0,0.444291127,0.04999799,0.022213664
-40500,0,0.47127059,0.049998032,0.023562603
-36000,0,0.50121408,0.049998039,0.025059721
-31500,0,0.533279137,0.049998099,0.026662941
-27000,0,0.568204473,0.049998112,0.02840915
-22500,0,0.60447124,0.049998179,0.030222462
-18000,0,0.643294227,0.049998166,0.03216353
-13500,0,0.68222204,0.049998216,0.034109885
-9000,0,0.723422857,0.049998221,0.036169856
-4500,0,0.763654383,0.049998224,0.038181363
0,0,0.80215507,0.049998236,0.040106339
4500,0,0.836975847,0.049998246,0.041847324
9000,0,0.865082953,0.049998248,0.043252631
13500,0,0.888319007,0.049998239,0.044414387
18000,0,0.904637437,0.049998237,0.045230276
22500,0,0.913148323,0.049998235,0.045655803
27000,0,0.913414443,0.049998238,0.045669112
31500,0,0.906084787,0.049998245,0.045302649
36000,0,0.89423926,0.049998256,0.044710403
40500,0,0.8774638,0.049998246,0.043871651
45000,0,0.86275049,0.049998258,0.043136022
-45000,4500,0.470755327,0.049998026,0.023536836
-40500,4500,0.49916721,0.049998028,0.024957376
-36000,4500,0.530422607,0.049998074,0.026520108
-31500,4500,0.564577083,0.049998114,0.028227788
-27000,4500,0.600209953,0.049998165,0.030009396
-22500,4500,0.63750496,0.04999819,0.031874094
-18000,4500,0.675725853,0.049998199,0.033785076
-13500,4500,0.715402347,0.049998246,0.035768862
-9000,4500,0.755504767,0.049998248,0.037773915
-4500,4500,0.79443793,0.049998249,0.039720505
0,4500,0.830463867,0.049998266,0.041521754
4500,4500,0.862429597,0.049998239,0.043119961
9000,4500,0.88864816,0.049998251,0.044430854
13500,4500,0.909538993,0.049998249,0.045475358
18000,4500,0.925074137,0.049998247,0.046252086
22500,4500,0.93326864,0.049998234,0.046661785
27000,4500,0.934290067,0.049998237,0.046712857
31500,4500,0.928063603,0.049998231,0.04640154
36000,4500,0.91767056,0.049998245,0.045881917
40500,4500,0.901990527,0.049998231,0.045097931
45000,4500,0.890168837,0.04999825,0.044506883
-45000,9000,0.500410377,0.049998044,0.02501954
-40500,9000,0.529505887,0.049998075,0.026474275
-36000,9000,0.562152703,0.049998131,0.028106585
-31500,9000,0.596723187,0.04999815,0.029835055
-27000,9000,0.63360881,0.049998195,0.031679296
-22500,9000,0.671282687,0.049998219,0.033562939
-18000,9000,0.709342867,0.049998263,0.035465911
-13500,9000,0.74769054,0.04999823,0.037383204
-9000,9000,0.786605127,0.049998239,0.039328872
-4500,9000,0.823559847,0.049998248,0.041176549
0,9000,0.856904933,0.049998243,0.042843741
4500,9000,0.886786317,0.049998236,0.044337751
9000,9000,0.911309707,0.049998239,0.045563881
13500,9000,0.930418453,0.049998228,0.046519274
18000,9000,0.94446123,0.049998236,0.047221397
22500,9000,0.95244321,0.049998227,0.047620472
27000,9000,0.95454288,0.049998221,0.047725447
31500,9000,0.94980542,0.049998228,0.047488588
36000,9000,0.940916717,0.049998233,0.047044173
40500,9000,0.927390363,0.049998216,0.046367864
45000,9000,0.92364661,0.049998228,0.046180694
-45000,13500,0.533780563,0.049998076,0.026688001
-40500,13500,0.562821603,0.049998079,0.02814
-36000,13500,0.59632808,0.04999815,0.029815301
-31500,13500,0.631824963,0.049998194,0.031590108
-27000,13500,0.668669433,0.049998208,0.033432274
-22500,13500,0.706085407,0.049998243,0.03530303
-18000,13500,0.74276463,0.049998239,0.037136924
-13500,13500,0.780563733,0.049998255,0.039026825
-9000,13500,0.817616863,0.049998252,0.040879414
-4500,13500,0.851936673,0.049998259,0.042595351
0,13500,0.883900917,0.049998256,0.044193505
4500,13500,0.91098304,0.049998233,0.045547542
9000,13500,0.93374302,0.049998239,0.046685508
13500,13500,0.951270343,0.049998229,0.047561833
18000,13500,0.96333381,0.049998225,0.04816498
22500,13500,0.971091707,0.049998229,0.048552866
27000,13500,0.974497143,0.049998213,0.048723116
31500,13500,0.972396223,0.049998228,0.048618088
36000,13500,0.965703683,0.049998222,0.048283469
40500,13500,0.95519319,0.049998239,0.047757978
45000,13500,0.983774113,0.049998221,0.049186956
-40500,18000,0.59864924,0.049998156,0.029931357
-36000,18000,0.632124267,0.049998211,0.031605082
-31500,18000,0.6677629,0.049998207,0.033386948
-27000,18000,0.704274573,0.04999825,0.035212497
-22500,18000,0.741709567,0.049998279,0.037084203
