Unnamed: 0,x,y,R,I,V
14.5,-22500.0,-40500.0,0.79140027,0.049998261,0.03956863733333334
44.5,-18000.0,-40500.0,0.79164111,0.04999824666666666,0.03958066666666667
74.5,-13500.0,-40500.0,0.8133310966666667,0.049998263,0.040665142
104.5,-9000.0,-40500.0,0.8349975500000001,0.04999827733333333,0.04174843933333334
134.5,-4500.0,-40500.0,0.8546767266666666,0.049998292666666666,0.042732377333333335
164.5,0.0,-40500.0,0.8710707066666666,0.049998278666666666,0.04355203566666667
194.5,4500.0,-40500.0,0.8838747433333334,0.049998275999999994,0.04419221266666666
224.5,9000.0,-40500.0,0.89268043,0.04999827133333334,0.044632480333333335
254.5,13500.0,-40500.0,0.89699918,0.04999826733333333,0.044848406
284.5,18000.0,-40500.0,0.8988315266666667,0.04999825666666667,0.044940008999999996
314.5,22500.0,-40500.0,0.9059156066666667,0.04999826733333333,0.04529420866666667
344.5,-27000.0,-36000.0,0.7861837266666666,0.04999827233333333,0.039307827999999996
374.5,-22500.0,-36000.0,0.8055356133333333,0.049998265666666666,0.04027538333333334
404.5,-18000.0,-36000.0,0.8254538733333334,0.04999825533333334,0.041271253
434.5,-13500.0,-36000.0,0.8441650700000001,0.049998274,0.042206796
464.5,-9000.0,-36000.0,0.86167688,0.04999826933333333,0.043082351666666664
494.5,-4500.0,-36000.0,0.8772155166666666,0.04999825633333333,0.043859246
524.5,0.0,-36000.0,0.8889614100000001,0.04999825233333333,0.044446515666666665
554.5,4500.0,-36000.0,0.8978315899999999,0.04999824866666667,0.044890008
584.5,9000.0,-36000.0,0.9031425,0.04999824133333333,0.045155535999999996
614.5,13500.0,-36000.0,0.9038817633333333,0.049998242,0.045192498666666664
644.5,18000.0,-36000.0,0.90171165,0.049998237333333334,0.045083993333333336
674.5,22500.0,-36000.0,0.89798668,0.049998249333333335,0.04489776266666667
704.5,27000.0,-36000.0,0.8990312533333333,0.04999824466666667,0.044949985
734.5,-31500.0,-31500.0,0.81387379,0.049998248333333335,0.040692264
764.5,-27000.0,-31500.0,0.8270553733333333,0.049998252666666666,0.041351323333333335
794.5,-22500.0,-31500.0,0.8438984733333333,0.04999824933333333,0.042193446333333336
824.5,-18000.0,-31500.0,0.8604176,0.049998232999999996,0.04301935933333333
854.5,-13500.0,-31500.0,0.8750428299999999,0.049998232,0.043750595
884.5,-9000.0,-31500.0,0.8889922299999999,0.049998247,0.044448053333333334
914.5,-4500.0,-31500.0,0.8996036733333334,0.04999822933333333,0.044978591
944.5,0.0,-31500.0,0.9080916566666667,0.04999823233333334,0.04540297733333333
974.5,4500.0,-31500.0,0.9137825533333334,0.049998243,0.045687521333333335
1004.5,9000.0,-31500.0,0.91683945,0.04999824233333334,0.045840362333333336
1034.5,13500.0,-31500.0,0.91511505,0.04999824533333333,0.04575414633333333
1064.5,18000.0,-31500.0,0.9107300033333333,0.04999823966666667,0.045534897
1094.5,22500.0,-31500.0,0.9045572266666666,0.04999823166666666,0.045226262
1124.5,27000.0,-31500.0,0.8965048,0.049998234,0.04482365666666667
1154.5,31500.0,-31500.0,0.8905800566666666,0.049998263333333334,0.04452745566666667
1184.5,-36000.0,-27000.0,0.8410456233333333,0.04999824666666666,0.04205080766666667
1214.5,-31500.0,-27000.0,0.85500422,0.049998252666666666,0.042748718666666664
1244.5,-27000.0,-27000.0,0.8689472066666667,0.049998241666666665,0.043445833
1274.5,-22500.0,-27000.0,0.8828947800000001,0.049998251,0.044143196
1304.5,-18000.0,-27000.0,0.89577264,0.049998249,0.044787063
1334.5,-13500.0,-27000.0,0.9064552266666667,0.049998229,0.045321156333333334
1364.5,-9000.0,-27000.0,0.9164510833333334,0.049998239,0.04582093866666667
1394.5,-4500.0,-27000.0,0.9238105999999999,0.049998243,0.046188906
1424.5,0.0,-27000.0,0.9281166533333334,0.04999822266666667,0.046404182333333335
1454.5,4500.0,-27000.0,0.9304663466666666,0.04999823966666667,0.04652167933333333
1484.5,9000.0,-27000.0,0.9315826433333334,0.049998235333333335,0.04657748799999999
1514.5,13500.0,-27000.0,0.9292194333333333,0.049998229666666665,0.046459328333333334
1544.5,18000.0,-27000.0,0.9225079033333333,0.049998249,0.046123779999999996
1574.5,22500.0,-27000.0,0.9142485833333333,0.04999823766666667,0.04571081833333333
1604.5,27000.0,-27000.0,0.90496627,0.049998253000000006,0.04524673166666667
1634.5,31500.0,-27000.0,0.8937836566666667,0.049998246333333336,0.044687615
1664.5,36000.0,-27000.0,0.8885667233333333,0.049998262333333335,0.04442679133333333
1694.5,-40500.0,-22500.0,0.8829571466666667,0.04999824766666667,0.04414631
1724.5,-36000.0,-22500.0,0.8909447833333334,0.049998237333333334,0.044545668000000004
1754.5,-31500.0,-22500.0,0.9014622233333333,0.04999824333333334,0.045071527666666666
1784.5,-27000.0,-22500.0,0.9120683233333333,0.04999823666666667,0.045601807
1814.5,-22500.0,-22500.0,0.92177551,0.04999824133333333,0.046087156000000004
1844.5,-18000.0,-22500.0,0.93069877,0.04999823266666667,0.04653329533333333
1874.5,-13500.0,-22500.0,0.9383672599999999,0.04999823966666667,0.04691671233333334
1904.5,-9000.0,-22500.0,0.9444839666666667,0.04999822233333333,0.04722252066666666
1934.5,-4500.0,-22500.0,0.9483862333333334,0.04999821966666666,0.04741762266666667
1964.5,0.0,-22500.0,0.9499488199999999,0.049998226666666666,0.04749575666666667
1994.5,4500.0,-22500.0,0.9493678833333333,0.04999822600000001,0.047466710333333335
2024.5,9000.0,-22500.0,0.9480495266666666,0.04999822266666667,0.04740079
