index,Au,Cu,Pd,Pt,Composition,Similarity_to_Resistance
65,30.38,14.03,38.59,17.0,Au30.38Cu14.03Pd38.59Pt17.00,0.36948496
66,28.86,14.45,40.92,15.77,Au28.86Cu14.45Pd40.92Pt15.77,0.36666337
67,26.62,14.53,43.15,15.7,Au26.62Cu14.53Pd43.15Pt15.70,0.3660581
68,23.71,14.98,46.06,15.24,Au23.71Cu14.98Pd46.06Pt15.24,0.36397964
69,20.89,16.69,48.15,14.28,Au20.89Cu16.69Pd48.15Pt14.28,0.35865265
70,19.83,16.76,50.28,13.13,Au19.83Cu16.76Pd50.28Pt13.13,0.35654223
71,17.86,17.19,52.55,12.41,Au17.86Cu17.19Pd52.55Pt12.41,0.35415363
72,15.56,18.08,53.98,12.39,Au15.56Cu18.08Pd53.98Pt12.39,0.35184076
73,14.15,18.57,55.7,11.59,Au14.15Cu18.57Pd55.70Pt11.59,0.3492972
74,13.1,18.26,57.75,10.89,Au13.10Cu18.26Pd57.75Pt10.89,0.3485126
75,49.68,9.51,19.36,21.44,Au49.68Cu9.51Pd19.36Pt21.44,0.3850749
76,47.69,8.97,20.95,22.39,Au47.69Cu8.97Pd20.95Pt22.39,0.38752675
77,46.38,9.58,22.1,21.94,Au46.38Cu9.58Pd22.10Pt21.94,0.38579413
78,43.65,9.76,24.6,22.0,Au43.65Cu9.76Pd24.60Pt22.00,0.38560364
79,41.22,11.39,26.25,21.14,Au41.22Cu11.39Pd26.25Pt21.14,0.3812193
80,39.48,11.1,28.64,20.78,Au39.48Cu11.10Pd28.64Pt20.78,0.38128898
81,37.24,12.43,30.21,20.12,Au37.24Cu12.43Pd30.21Pt20.12,0.37765306
82,34.14,13.43,32.82,19.61,Au34.14Cu13.43Pd32.82Pt19.61,0.3747594
83,31.49,14.22,35.12,19.16,Au31.49Cu14.22Pd35.12Pt19.16,0.37231806
84,29.65,14.0,38.39,17.96,Au29.65Cu14.00Pd38.39Pt17.96,0.37083533
85,26.93,15.72,39.74,17.62,Au26.93Cu15.72Pd39.74Pt17.62,0.36657324
86,24.5,16.41,42.09,17.0,Au24.50Cu16.41Pd42.09Pt17.00,0.36392534
87,22.98,16.89,43.94,16.2,Au22.98Cu16.89Pd43.94Pt16.20,0.3615374
88,20.18,16.91,46.96,15.95,Au20.18Cu16.91Pd46.96Pt15.95,0.36057806
89,18.38,18.12,48.51,14.99,Au18.38Cu18.12Pd48.51Pt14.99,0.35639057
90,16.27,18.07,51.22,14.43,Au16.27Cu18.07Pd51.22Pt14.43,0.35515195
91,14.35,19.66,52.48,13.51,Au14.35Cu19.66Pd52.48Pt13.51,0.35019356
92,13.11,20.53,53.89,12.47,Au13.11Cu20.53Pd53.89Pt12.47,0.34659436
93,11.89,20.22,55.89,12.0,Au11.89Cu20.22Pd55.89Pt12.00,0.34614754
94,50.88,7.76,17.31,24.05,Au50.88Cu7.76Pd17.31Pt24.05,0.3917838
95,47.69,9.74,18.7,23.87,Au47.69Cu9.74Pd18.70Pt23.87,0.3878551
96,44.75,9.86,21.15,24.24,Au44.75Cu9.86Pd21.15Pt24.24,0.3882628
97,44.16,9.62,21.91,24.32,Au44.16Cu9.62Pd21.91Pt24.32,0.3888712
98,42.12,11.13,22.94,23.81,Au42.12Cu11.13Pd22.94Pt23.81,0.38524193
99,38.14,12.09,25.75,24.03,Au38.14Cu12.09Pd25.75Pt24.03,0.38360345
100,37.47,12.62,27.17,22.75,Au37.47Cu12.62Pd27.17Pt22.75,0.38083285
101,35.16,13.75,28.47,22.62,Au35.16Cu13.75Pd28.47Pt22.62,0.37829366
102,32.49,14.22,31.64,21.65,Au32.49Cu14.22Pd31.64Pt21.65,0.37586716
103,30.12,14.17,34.03,21.67,Au30.12Cu14.17Pd34.03Pt21.67,0.3757826
104,27.55,14.9,36.46,21.09,Au27.55Cu14.90Pd36.46Pt21.09,0.3732267
105,24.9,16.18,38.96,19.96,Au24.90Cu16.18Pd38.96Pt19.96,0.3687166
106,23.53,16.4,41.08,18.99,Au23.53Cu16.40Pd41.08Pt18.99,0.36667183
107,20.86,18.66,42.27,18.21,Au20.86Cu18.66Pd42.27Pt18.21,0.36058336
108,19.09,18.02,45.28,17.61,Au19.09Cu18.02Pd45.28Pt17.61,0.3606332
109,17.27,19.38,46.78,16.57,Au17.27Cu19.38Pd46.78Pt16.57,0.35602912
110,15.76,21.04,48.04,15.15,Au15.76Cu21.04Pd48.04Pt15.15,0.35029113
111,14.26,19.92,50.97,14.85,Au14.26Cu19.92Pd50.97Pt14.85,0.35169655
112,12.73,20.88,52.64,13.75,Au12.73Cu20.88Pd52.64Pt13.75,0.34776855
113,11.21,21.91,54.05,12.83,Au11.21Cu21.91Pd54.05Pt12.83,0.3439561
114,10.16,22.1,55.65,12.09,Au10.16Cu22.10Pd55.65Pt12.09,0.34216857
115,47.23,8.67,17.15,26.95,Au47.23Cu8.67Pd17.15Pt26.95,0.39385593
116,44.53,11.16,17.2,27.11,Au44.53Cu11.16Pd17.20Pt27.11,0.38920844
117,43.25,10.17,18.52,28.06,Au43.25Cu10.17Pd18.52Pt28.06,0.3924619
118,41.66,10.42,20.89,27.03,Au41.66Cu10.42Pd20.89Pt27.03,0.39076442
119,38.87,10.71,23.61,26.81,Au38.87Cu10.71Pd23.61Pt26.81,0.38995636
120,37.28,11.8,24.29,26.64,Au37.28Cu11.80Pd24.29Pt26.64,0.38754395
121,34.68,13.37,26.33,25.61,Au34.68Cu13.37Pd26.33Pt25.61,0.38299158
122,32.39,13.61,29.36,24.64,Au32.39Cu13.61Pd29.36Pt24.64,0.38111767
123,31.62,13.32,30.36,24.69,Au31.62Cu13.32Pd30.36Pt24.69,0.38171273
124,28.9,14.91,32.72,23.47,Au28.90Cu14.91Pd32.72Pt23.47,0.3766454
125,26.78,16.34,34.03,22.86,Au26.78Cu16.34Pd34.03Pt22.86,0.37270433
126,23.38,17.15,37.67,21.8,Au23.38Cu17.15Pd37.67Pt21.80,0.36914986
127,22.08,17.3,39.55,21.08,Au22.08Cu17.30Pd39.55Pt21.08,0.367629
128,20.08,18.5,41.45,19.97,Au20.08Cu18.50Pd41.45Pt19.97,0.36330163
129,17.44,19.07,43.9,19.59,Au17.44Cu19.07Pd43.90Pt19.59,0.3611059
130,16.42,20.8,44.77,18.01,Au16.42Cu20.80Pd44.77Pt18.01,0.35514465
131,14.51,21.02,47.3,17.17,Au14.51Cu21.02Pd47.30Pt17.17,0.3530529
132,12.88,21.91,49.0,16.21,Au12.88Cu21.91Pd49.00Pt16.21,0.34947908
133,12.35,21.67,51.06,14.92,Au12.35Cu21.67Pd51.06Pt14.92,0.34789193
134,10.57,23.22,52.28,13.93,Au10.57Cu23.22Pd52.28Pt13.93,0.3428852
135,9.63,23.69,53.51,13.16,Au9.63Cu23.69Pd53.51Pt13.16,0.34054127
